# x=3.3250  x=3.3750  x=3.4250  x=3.4750  x=3.5250  x=3.5750  x=3.6250  x=3.6750  x=3.7250  x=3.7750  x=3.8250  x=3.8750  x=3.9250  x=3.9750  x=4.0250  x=4.0750  x=4.1250  x=4.1750  x=4.2250  x=4.2750  x=4.3250  x=4.3750  x=4.4250  x=4.4750  x=4.5250  x=4.5750  x=4.6250  x=4.6750  x=4.7250  x=4.7750  x=4.8250  x=4.8750  x=4.9250  x=4.9750  x=5.0250  x=5.0750  x=5.1250  x=5.1750  x=5.2250  x=5.2750  x=5.3250  x=5.3750  x=5.4250  x=5.4750  x=5.5250  x=5.5750  x=5.6250  x=5.6750  x=5.7250  x=5.7750  x=5.8250  x=5.8750  x=5.9250  x=5.9750  x=6.0250  x=6.0750  x=6.1250  x=6.1750  x=6.2250  x=6.2750  x=6.3250  x=6.3750  x=6.4250  x=6.4750  x=6.5250  x=6.5750  x=6.6250  x=6.6750
1.248284e+00 1.258730e+00 1.270139e+00 1.282539e+00 1.295965e+00 1.310452e+00 1.326039e+00 1.342768e+00 1.360683e+00 1.379831e+00 1.400265e+00 1.422039e+00 1.445210e+00 1.469841e+00 1.490775e+00 1.505688e+00 1.519807e+00 1.533133e+00 1.545670e+00 1.557418e+00 1.568380e+00 1.578558e+00 1.587954e+00 1.596569e+00 1.604405e+00 1.611463e+00 1.617745e+00 1.623251e+00 1.627982e+00 1.631939e+00 1.635123e+00 1.637535e+00 1.639174e+00 1.640042e+00 1.640138e+00 1.639462e+00 1.638014e+00 1.635794e+00 1.632801e+00 1.629036e+00 1.624497e+00 1.619184e+00 1.613095e+00 1.606230e+00 1.598587e+00 1.590165e+00 1.580963e+00 1.570979e+00 1.560212e+00 1.548659e+00 1.536318e+00 1.523188e+00 1.509266e+00 1.494550e+00 1.473435e+00 1.447615e+00 1.422636e+00 1.398444e+00 1.374985e+00 1.352208e+00 1.330064e+00 1.308503e+00 1.287480e+00 1.266948e+00 1.246863e+00 1.227179e+00 1.207855e+00 1.188848e+00
1.546611e+00 1.571173e+00 1.596051e+00 1.621268e+00 1.646850e+00 1.672821e+00 1.699207e+00 1.726034e+00 1.753329e+00 1.781117e+00 1.809426e+00 1.838284e+00 1.867720e+00 1.897761e+00 1.919477e+00 1.931950e+00 1.944153e+00 1.956098e+00 1.967796e+00 1.979257e+00 1.990493e+00 2.001514e+00 2.012330e+00 2.022952e+00 2.033389e+00 2.043652e+00 2.053749e+00 2.063691e+00 2.073486e+00 2.083144e+00 2.092674e+00 2.102085e+00 2.111385e+00 2.120584e+00 2.129689e+00 2.138711e+00 2.147656e+00 2.156533e+00 2.165351e+00 2.174118e+00 2.182843e+00 2.191532e+00 2.200195e+00 2.208840e+00 2.217474e+00 2.226106e+00 2.234744e+00 2.243395e+00 2.252069e+00 2.260773e+00 2.269516e+00 2.278305e+00 2.287149e+00 2.296056e+00 2.305436e+00 2.314271e+00 2.322166e+00 2.329127e+00 2.335159e+00 2.340267e+00 2.344454e+00 2.347724e+00 2.350078e+00 2.351519e+00 2.352047e+00 2.351664e+00 2.350369e+00 2.348160e+00
4.152757e+00 4.171096e+00 4.184716e+00 4.193634e+00 4.197861e+00 4.197405e+00 4.192263e+00 4.182430e+00 4.167892e+00 4.148629e+00 4.124617e+00 4.095822e+00 4.062208e+00 4.023728e+00 3.996576e+00 3.984795e+00 3.972136e+00 3.958598e+00 3.944176e+00 3.928866e+00 3.912664e+00 3.895567e+00 3.877569e+00 3.858667e+00 3.838854e+00 3.818126e+00 3.796478e+00 3.773904e+00 3.750397e+00 3.725952e+00 3.700563e+00 3.674222e+00 3.646923e+00 3.618659e+00 3.589422e+00 3.559205e+00 3.527999e+00 3.495798e+00 3.462591e+00 3.428371e+00 3.393129e+00 3.356855e+00 3.319540e+00 3.281174e+00 3.241747e+00 3.201249e+00 3.159669e+00 3.116997e+00 3.073221e+00 3.028329e+00 2.982311e+00 2.935154e+00 2.886845e+00 2.837373e+00 2.787360e+00 2.739664e+00 2.693604e+00 2.649138e+00 2.606223e+00 2.564820e+00 2.524889e+00 2.486393e+00 2.449297e+00 2.413565e+00 2.379164e+00 2.346063e+00 2.314228e+00 2.283632e+00
4.106737e+00 4.096866e+00 4.081230e+00 4.059823e+00 4.032642e+00 3.999678e+00 3.960922e+00 3.916365e+00 3.865995e+00 3.809799e+00 3.747762e+00 3.679868e+00 3.606098e+00 3.526434e+00 3.440782e+00 3.358591e+00 3.279738e+00 3.204038e+00 3.131309e+00 3.061380e+00 2.994085e+00 2.929262e+00 2.866760e+00 2.806428e+00 2.748125e+00 2.691711e+00 2.637052e+00 2.584019e+00 2.532487e+00 2.482331e+00 2.433434e+00 2.385680e+00 2.338954e+00 2.293147e+00 2.248148e+00 2.203852e+00 2.160153e+00 2.116948e+00 2.074133e+00 2.031607e+00 1.989270e+00 1.947021e+00 1.904759e+00 1.862383e+00 1.819795e+00 1.776891e+00 1.733571e+00 1.689732e+00 1.645269e+00 1.600077e+00 1.554048e+00 1.507074e+00 1.459042e+00 1.409840e+00 1.371256e+00 1.346216e+00 1.322770e+00 1.300877e+00 1.280500e+00 1.261604e+00 1.244157e+00 1.228129e+00 1.213491e+00 1.200220e+00 1.188292e+00 1.177687e+00 1.168387e+00 1.160375e+00
8.378284e+00 8.385931e+00 8.391513e+00 8.395031e+00 8.396485e+00 8.395877e+00 8.393204e+00 8.388468e+00 8.381667e+00 8.372802e+00 8.361871e+00 8.348872e+00 8.333806e+00 8.316669e+00 8.277915e+00 8.218453e+00 8.157793e+00 8.095896e+00 8.032722e+00 7.968234e+00 7.902389e+00 7.835147e+00 7.766464e+00 7.696299e+00 7.624607e+00 7.551342e+00 7.476459e+00 7.399910e+00 7.321648e+00 7.241622e+00 7.159784e+00 7.076080e+00 6.990460e+00 6.902868e+00 6.813249e+00 6.721548e+00 6.627707e+00 6.531666e+00 6.433365e+00 6.332742e+00 6.229735e+00 6.124277e+00 6.016304e+00 5.905746e+00 5.792535e+00 5.676598e+00 5.557864e+00 5.436258e+00 5.311702e+00 5.184119e+00 5.053428e+00 4.919548e+00 4.782393e+00 4.641878e+00 4.551758e+00 4.515370e+00 4.478857e+00 4.442205e+00 4.405400e+00 4.368426e+00 4.331269e+00 4.293913e+00 4.256345e+00 4.218549e+00 4.180509e+00 4.142212e+00 4.103640e+00 4.064780e+00
4.903174e+00 4.914212e+00 4.925640e+00 4.937458e+00 4.949671e+00 4.962280e+00 4.975287e+00 4.988694e+00 5.002505e+00 5.016723e+00 5.031348e+00 5.046385e+00 5.061836e+00 5.077704e+00 5.137624e+00 5.233336e+00 5.321340e+00 5.401756e+00 5.474697e+00 5.540261e+00 5.598539e+00 5.649610e+00 5.693546e+00 5.730407e+00 5.760242e+00 5.783094e+00 5.798993e+00 5.807961e+00 5.810011e+00 5.805146e+00 5.793358e+00 5.774632e+00 5.748942e+00 5.716252e+00 5.676518e+00 5.629685e+00 5.575689e+00 5.514456e+00 5.445900e+00 5.369929e+00 5.286438e+00 5.195311e+00 5.096425e+00 4.989642e+00 4.874817e+00 4.751791e+00 4.620395e+00 4.480449e+00 4.331760e+00 4.174125e+00 4.007326e+00 3.831135e+00 3.645309e+00 3.449592e+00 3.266756e+00 3.115363e+00 2.971943e+00 2.836088e+00 2.707409e+00 2.585540e+00 2.470134e+00 2.360863e+00 2.257413e+00 2.159492e+00 2.066819e+00 1.979130e+00 1.896176e+00 1.817720e+00
1.949589e+00 1.985733e+00 2.025272e+00 2.068465e+00 2.115594e+00 2.166970e+00 2.222928e+00 2.283835e+00 2.350092e+00 2.422131e+00 2.500426e+00 2.585489e+00 2.677879e+00 2.778201e+00 2.845085e+00 2.868404e+00 2.890193e+00 2.910457e+00 2.929201e+00 2.946432e+00 2.962153e+00 2.976368e+00 2.989083e+00 3.000300e+00 3.010022e+00 3.018252e+00 3.024993e+00 3.030246e+00 3.034012e+00 3.036293e+00 3.037089e+00 3.036401e+00 3.034228e+00 3.030570e+00 3.025425e+00 3.018793e+00 3.010671e+00 3.001058e+00 2.989950e+00 2.977344e+00 2.963238e+00 2.947627e+00 2.930507e+00 2.911872e+00 2.891719e+00 2.870042e+00 2.846834e+00 2.822089e+00 2.795801e+00 2.767962e+00 2.738564e+00 2.707600e+00 2.675060e+00 2.640937e+00 2.596013e+00 2.544058e+00 2.494156e+00 2.446192e+00 2.400052e+00 2.355629e+00 2.312819e+00 2.271521e+00 2.231640e+00 2.193082e+00 2.155756e+00 2.119575e+00 2.084456e+00 2.050314e+00
2.448838e+00 2.493974e+00 2.543336e+00 2.597201e+00 2.655874e+00 2.719682e+00 2.788985e+00 2.864171e+00 2.945662e+00 3.033918e+00 3.129432e+00 3.232742e+00 3.344427e+00 3.465115e+00 3.545369e+00 3.574310e+00 3.602060e+00 3.628627e+00 3.654018e+00 3.678239e+00 3.701299e+00 3.723202e+00 3.743954e+00 3.763562e+00 3.782030e+00 3.799364e+00 3.815567e+00 3.830646e+00 3.844603e+00 3.857442e+00 3.869167e+00 3.879781e+00 3.889288e+00 3.897688e+00 3.904985e+00 3.911181e+00 3.916278e+00 3.920276e+00 3.923176e+00 3.924981e+00 3.925689e+00 3.925302e+00 3.923819e+00 3.921240e+00 3.917564e+00 3.912790e+00 3.906917e+00 3.899943e+00 3.891866e+00 3.882685e+00 3.872396e+00 3.860997e+00 3.848485e+00 3.834856e+00 3.813432e+00 3.784776e+00 3.755554e+00 3.725757e+00 3.695375e+00 3.664398e+00 3.632814e+00 3.600614e+00 3.567787e+00 3.534321e+00 3.500206e+00 3.465430e+00 3.429981e+00 3.393848e+00
1.399750e+00 1.391970e+00 1.383748e+00 1.375079e+00 1.365959e+00 1.356385e+00 1.346350e+00 1.335852e+00 1.324884e+00 1.313441e+00 1.301519e+00 1.289112e+00 1.276213e+00 1.262817e+00 1.206870e+00 1.117980e+00 1.037379e+00 9.643293e-01 8.981601e-01 8.382657e-01 7.840971e-01 7.351579e-01 6.909997e-01 6.512179e-01 6.154477e-01 5.833615e-01 5.546652e-01 5.290958e-01 5.064190e-01 4.864271e-01 4.689367e-01 4.537877e-01 4.408411e-01 4.299784e-01 4.211000e-01 4.141245e-01 4.089881e-01 4.056436e-01 4.040604e-01 4.042240e-01 4.061359e-01 4.098137e-01 4.152909e-01 4.226178e-01 4.318616e-01 4.431070e-01 4.564569e-01 4.720338e-01 4.899805e-01 5.104612e-01 5.336639e-01 5.598010e-01 5.891121e-01 6.218658e-01 6.437261e-01 6.510922e-01 6.586068e-01 6.662768e-01 6.741093e-01 6.821112e-01 6.902899e-01 6.986529e-01 7.072077e-01 7.159622e-01 7.249242e-01 7.341020e-01 7.435039e-01 7.531385e-01
2.336046e+00 2.339472e+00 2.341958e+00 2.343507e+00 2.344119e+00 2.343794e+00 2.342533e+00 2.340335e+00 2.337198e+00 2.333119e+00 2.328095e+00 2.322123e+00 2.315197e+00 2.307313e+00 2.300021e+00 2.294434e+00 2.288989e+00 2.283682e+00 2.278510e+00 2.273469e+00 2.268557e+00 2.263768e+00 2.259102e+00 2.254553e+00 2.250119e+00 2.245797e+00 2.241585e+00 2.237479e+00 2.233476e+00 2.229574e+00 2.225769e+00 2.222061e+00 2.218445e+00 2.214920e+00 2.211483e+00 2.208132e+00 2.204864e+00 2.201678e+00 2.198571e+00 2.195540e+00 2.192585e+00 2.189703e+00 2.186891e+00 2.184149e+00 2.181474e+00 2.178864e+00 2.176318e+00 2.173834e+00 2.171410e+00 2.169045e+00 2.166737e+00 2.164484e+00 2.162285e+00 2.160138e+00 2.157901e+00 2.154999e+00 2.151571e+00 2.147611e+00 2.143114e+00 2.138072e+00 2.132479e+00 2.126327e+00 2.119606e+00 2.112307e+00 2.104420e+00 2.095932e+00 2.086833e+00 2.077108e+00
