# x=3.0250  x=3.0750  x=3.1250  x=3.1750  x=3.2250  x=3.2750  x=3.3250  x=3.3750  x=3.4250  x=3.4750  x=3.5250  x=3.5750  x=3.6250  x=3.6750  x=3.7250  x=3.7750  x=3.8250  x=3.8750  x=3.9250  x=3.9750  x=4.0250  x=4.0750  x=4.1250  x=4.1750  x=4.2250  x=4.2750  x=4.3250  x=4.3750  x=4.4250  x=4.4750  x=4.5250  x=4.5750  x=4.6250  x=4.6750  x=4.7250  x=4.7750  x=4.8250  x=4.8750  x=4.9250  x=4.9750  x=5.0250  x=5.0750  x=5.1250  x=5.1750  x=5.2250  x=5.2750  x=5.3250  x=5.3750  x=5.4250  x=5.4750  x=5.5250  x=5.5750  x=5.6250  x=5.6750  x=5.7250  x=5.7750  x=5.8250  x=5.8750  x=5.9250  x=5.9750  x=6.0250  x=6.0750  x=6.1250  x=6.1750  x=6.2250  x=6.2750  x=6.3250  x=6.3750  x=6.4250  x=6.4750  x=6.5250  x=6.5750  x=6.6250  x=6.6750  x=6.7250  x=6.7750  x=6.8250  x=6.8750  x=6.9250  x=6.9750
1.148112e+00 1.133782e+00 1.118369e+00 1.101854e+00 1.084217e+00 1.065435e+00 1.045484e+00 1.026615e+00 1.011001e+00 9.963259e-01 9.825459e-01 9.696220e-01 9.575170e-01 9.461963e-01 9.356274e-01 9.257799e-01 9.166256e-01 9.081383e-01 9.002935e-01 8.930689e-01 8.864437e-01 8.803989e-01 8.749171e-01 8.699826e-01 8.655813e-01 8.617005e-01 8.583291e-01 8.554575e-01 8.530773e-01 8.511819e-01 8.497656e-01 8.488246e-01 8.483560e-01 8.483586e-01 8.488323e-01 8.497785e-01 8.511999e-01 8.531006e-01 8.554860e-01 8.583630e-01 8.617399e-01 8.656263e-01 8.700333e-01 8.749736e-01 8.804615e-01 8.865125e-01 8.931442e-01 9.003754e-01 9.082270e-01 9.167214e-01 9.258831e-01 9.357382e-01 9.463152e-01 9.576443e-01 9.697579e-01 9.826909e-01 9.964804e-01 1.011166e+00 1.026789e+00 1.043396e+00 1.061033e+00 1.079751e+00 1.099605e+00 1.120650e+00 1.142947e+00 1.166560e+00 1.191557e+00 1.218010e+00 1.245994e+00 1.275589e+00 1.306882e+00 1.339960e+00 1.374920e+00 1.416169e+00 1.459661e+00 1.501100e+00 1.540496e+00 1.577859e+00 1.613199e+00 1.646525e+00
1.319085e+00 1.311084e+00 1.302221e+00 1.292487e+00 1.281868e+00 1.270351e+00 1.257923e+00 1.246732e+00 1.238183e+00 1.230095e+00 1.222454e+00 1.215247e+00 1.208461e+00 1.202084e+00 1.196106e+00 1.190516e+00 1.185304e+00 1.180461e+00 1.175979e+00 1.171850e+00 1.168067e+00 1.164623e+00 1.161513e+00 1.158730e+00 1.156270e+00 1.154130e+00 1.152304e+00 1.150790e+00 1.149586e+00 1.148688e+00 1.148097e+00 1.147810e+00 1.147827e+00 1.148148e+00 1.148774e+00 1.149705e+00 1.150945e+00 1.152493e+00 1.154354e+00 1.156530e+00 1.159026e+00 1.161845e+00 1.164993e+00 1.168474e+00 1.172296e+00 1.176464e+00 1.180986e+00 1.185870e+00 1.191124e+00 1.196757e+00 1.202779e+00 1.209201e+00 1.216034e+00 1.223289e+00 1.230980e+00 1.239119e+00 1.247721e+00 1.256800e+00 1.266373e+00 1.276455e+00 1.287065e+00 1.298222e+00 1.309943e+00 1.322250e+00 1.335165e+00 1.348708e+00 1.362905e+00 1.377779e+00 1.393357e+00 1.409666e+00 1.426733e+00 1.444589e+00 1.463264e+00 1.481548e+00 1.497422e+00 1.512132e+00 1.525682e+00 1.538073e+00 1.549310e+00 1.559393e+00
1.355078e+00 1.348409e+00 1.340926e+00 1.332619e+00 1.323478e+00 1.313491e+00 1.302646e+00 1.291422e+00 1.281124e+00 1.271235e+00 1.261736e+00 1.252605e+00 1.243825e+00 1.235376e+00 1.227240e+00 1.219400e+00 1.211841e+00 1.204545e+00 1.197498e+00 1.190684e+00 1.184090e+00 1.177701e+00 1.171504e+00 1.165487e+00 1.159635e+00 1.153937e+00 1.148381e+00 1.142956e+00 1.137649e+00 1.132450e+00 1.127347e+00 1.122330e+00 1.117389e+00 1.112512e+00 1.107691e+00 1.102913e+00 1.098170e+00 1.093451e+00 1.088747e+00 1.084048e+00 1.079343e+00 1.074622e+00 1.069877e+00 1.065096e+00 1.060270e+00 1.055389e+00 1.050442e+00 1.045418e+00 1.040308e+00 1.035101e+00 1.029785e+00 1.024349e+00 1.018782e+00 1.013072e+00 1.007208e+00 1.001176e+00 9.949639e-01 9.885590e-01 9.819475e-01 9.751155e-01 9.680487e-01 9.607321e-01 9.531504e-01 9.452874e-01 9.371268e-01 9.286512e-01 9.198429e-01 9.106832e-01 9.011529e-01 8.912319e-01 8.808993e-01 8.701332e-01 8.589112e-01 8.497492e-01 8.432084e-01 8.367383e-01 8.303284e-01 8.239683e-01 8.176478e-01 8.113565e-01
1.576431e+00 1.577956e+00 1.578953e+00 1.579425e+00 1.579370e+00 1.578790e+00 1.577683e+00 1.576085e+00 1.574550e+00 1.573039e+00 1.571550e+00 1.570080e+00 1.568628e+00 1.567191e+00 1.565767e+00 1.564354e+00 1.562949e+00 1.561551e+00 1.560157e+00 1.558766e+00 1.557374e+00 1.555980e+00 1.554582e+00 1.553178e+00 1.551765e+00 1.550341e+00 1.548905e+00 1.547453e+00 1.545984e+00 1.544496e+00 1.542986e+00 1.541451e+00 1.539890e+00 1.538301e+00 1.536680e+00 1.535025e+00 1.533333e+00 1.531603e+00 1.529831e+00 1.528015e+00 1.526152e+00 1.524239e+00 1.522273e+00 1.520251e+00 1.518170e+00 1.516027e+00 1.513819e+00 1.511542e+00 1.509192e+00 1.506767e+00 1.504261e+00 1.501673e+00 1.498997e+00 1.496229e+00 1.493365e+00 1.490402e+00 1.487333e+00 1.484156e+00 1.480863e+00 1.477452e+00 1.473916e+00 1.470250e+00 1.466448e+00 1.462505e+00 1.458415e+00 1.454171e+00 1.449766e+00 1.445195e+00 1.440450e+00 1.435523e+00 1.430407e+00 1.425095e+00 1.419578e+00 1.412364e+00 1.403881e+00 1.395590e+00 1.387468e+00 1.379493e+00 1.371644e+00 1.363899e+00
1.847491e+00 1.859050e+00 1.870433e+00 1.881654e+00 1.892727e+00 1.903666e+00 1.914484e+00 1.924828e+00 1.934291e+00 1.943249e+00 1.951710e+00 1.959682e+00 1.967173e+00 1.974189e+00 1.980738e+00 1.986825e+00 1.992457e+00 1.997638e+00 2.002373e+00 2.006668e+00 2.010525e+00 2.013949e+00 2.016943e+00 2.019509e+00 2.021651e+00 2.023369e+00 2.024666e+00 2.025543e+00 2.026001e+00 2.026040e+00 2.025661e+00 2.024862e+00 2.023643e+00 2.022003e+00 2.019941e+00 2.017454e+00 2.014540e+00 2.011196e+00 2.007420e+00 2.003207e+00 1.998555e+00 1.993457e+00 1.987910e+00 1.981908e+00 1.975446e+00 1.968517e+00 1.961115e+00 1.953234e+00 1.944864e+00 1.936000e+00 1.926632e+00 1.916751e+00 1.906349e+00 1.895415e+00 1.883939e+00 1.871910e+00 1.859317e+00 1.846149e+00 1.832392e+00 1.818033e+00 1.803060e+00 1.787458e+00 1.771212e+00 1.754307e+00 1.736727e+00 1.718456e+00 1.699475e+00 1.679769e+00 1.659317e+00 1.638100e+00 1.616099e+00 1.593293e+00 1.569661e+00 1.536355e+00 1.496788e+00 1.459613e+00 1.424672e+00 1.391814e+00 1.360900e+00 1.331797e+00
1.536300e+00 1.536339e+00 1.535799e+00 1.534679e+00 1.532977e+00 1.530691e+00 1.527819e+00 1.524557e+00 1.521652e+00 1.518896e+00 1.516285e+00 1.513816e+00 1.511485e+00 1.509288e+00 1.507222e+00 1.505284e+00 1.503470e+00 1.501777e+00 1.500204e+00 1.498748e+00 1.497405e+00 1.496176e+00 1.495056e+00 1.494045e+00 1.493142e+00 1.492344e+00 1.491650e+00 1.491060e+00 1.490573e+00 1.490187e+00 1.489902e+00 1.489718e+00 1.489634e+00 1.489651e+00 1.489768e+00 1.489985e+00 1.490304e+00 1.490723e+00 1.491245e+00 1.491869e+00 1.492597e+00 1.493430e+00 1.494369e+00 1.495415e+00 1.496571e+00 1.497838e+00 1.499218e+00 1.500713e+00 1.502325e+00 1.504058e+00 1.505913e+00 1.507893e+00 1.510002e+00 1.512243e+00 1.514620e+00 1.517135e+00 1.519793e+00 1.522598e+00 1.525555e+00 1.528668e+00 1.531941e+00 1.535380e+00 1.538991e+00 1.542778e+00 1.546748e+00 1.550907e+00 1.555261e+00 1.559817e+00 1.564582e+00 1.569564e+00 1.574770e+00 1.580208e+00 1.585887e+00 1.590936e+00 1.594359e+00 1.597040e+00 1.598979e+00 1.600177e+00 1.600634e+00 1.600352e+00
1.188062e+00 1.175211e+00 1.161329e+00 1.146399e+00 1.130401e+00 1.113317e+00 1.095124e+00 1.076072e+00 1.058333e+00 1.041577e+00 1.025749e+00 1.010799e+00 9.966781e-01 9.833412e-01 9.707451e-01 9.588493e-01 9.476154e-01 9.370071e-01 9.269903e-01 9.175327e-01 9.086039e-01 9.001749e-01 8.922186e-01 8.847094e-01 8.776231e-01 8.709368e-01 8.646290e-01 8.586793e-01 8.530686e-01 8.477787e-01 8.427926e-01 8.380942e-01 8.336684e-01 8.295009e-01 8.255783e-01 8.218880e-01 8.184179e-01 8.151570e-01 8.120947e-01 8.092212e-01 8.065272e-01 8.040039e-01 8.016434e-01 7.994379e-01 7.973803e-01 7.954641e-01 7.936830e-01 7.920313e-01 7.905036e-01 7.890951e-01 7.878012e-01 7.866178e-01 7.855409e-01 7.845672e-01 7.836935e-01 7.829170e-01 7.822352e-01 7.816458e-01 7.811471e-01 7.807373e-01 7.804152e-01 7.801797e-01 7.800301e-01 7.799658e-01 7.799867e-01 7.800928e-01 7.802846e-01 7.805625e-01 7.809275e-01 7.813808e-01 7.819238e-01 7.825583e-01 7.832863e-01 7.841903e-01 7.850034e-01 7.856482e-01 7.861271e-01 7.864416e-01 7.865929e-01 7.865814e-01
1.365541e+00 1.359259e+00 1.352177e+00 1.344285e+00 1.335573e+00 1.326031e+00 1.315646e+00 1.304393e+00 1.293642e+00 1.283379e+00 1.273581e+00 1.264225e+00 1.255290e+00 1.246754e+00 1.238599e+00 1.230804e+00 1.223353e+00 1.216228e+00 1.209411e+00 1.202889e+00 1.196645e+00 1.190665e+00 1.184935e+00 1.179443e+00 1.174174e+00 1.169118e+00 1.164262e+00 1.159595e+00 1.155106e+00 1.150785e+00 1.146622e+00 1.142608e+00 1.138732e+00 1.134987e+00 1.131362e+00 1.127851e+00 1.124445e+00 1.121135e+00 1.117915e+00 1.114777e+00 1.111713e+00 1.108717e+00 1.105781e+00 1.102899e+00 1.100064e+00 1.097270e+00 1.094510e+00 1.091777e+00 1.089066e+00 1.086370e+00 1.083683e+00 1.080998e+00 1.078310e+00 1.075612e+00 1.072898e+00 1.070161e+00 1.067396e+00 1.064596e+00 1.061754e+00 1.058864e+00 1.055919e+00 1.052913e+00 1.049838e+00 1.046687e+00 1.043453e+00 1.040129e+00 1.036707e+00 1.033178e+00 1.029535e+00 1.025770e+00 1.021873e+00 1.017836e+00 1.013649e+00 1.010119e+00 1.007243e+00 1.004200e+00 1.000984e+00 9.975928e-01 9.940205e-01 9.902623e-01
2.133415e+00 2.155558e+00 2.177895e+00 2.200455e+00 2.223266e+00 2.246355e+00 2.269753e+00 2.288902e+00 2.302907e+00 2.316359e+00 2.329265e+00 2.341629e+00 2.353457e+00 2.364753e+00 2.375523e+00 2.385772e+00 2.395503e+00 2.404720e+00 2.413429e+00 2.421632e+00 2.429332e+00 2.436534e+00 2.443240e+00 2.449453e+00 2.455176e+00 2.460411e+00 2.465160e+00 2.469426e+00 2.473210e+00 2.476514e+00 2.479339e+00 2.481686e+00 2.483557e+00 2.484952e+00 2.485873e+00 2.486318e+00 2.486289e+00 2.485785e+00 2.484806e+00 2.483352e+00 2.481423e+00 2.479017e+00 2.476133e+00 2.472770e+00 2.468926e+00 2.464601e+00 2.459792e+00 2.454497e+00 2.448714e+00 2.442441e+00 2.435674e+00 2.428411e+00 2.420648e+00 2.412384e+00 2.403613e+00 2.394332e+00 2.384537e+00 2.374225e+00 2.363390e+00 2.352028e+00 2.340135e+00 2.327705e+00 2.314732e+00 2.301212e+00 2.287138e+00 2.272505e+00 2.257306e+00 2.241535e+00 2.225186e+00 2.208250e+00 2.190721e+00 2.172592e+00 2.153855e+00 2.118994e+00 2.071136e+00 2.025640e+00 1.982368e+00 1.941186e+00 1.901968e+00 1.864593e+00
1.191041e+00 1.178300e+00 1.164532e+00 1.149720e+00 1.133844e+00 1.116887e+00 1.098825e+00 1.083111e+00 1.071387e+00 1.060158e+00 1.049400e+00 1.039092e+00 1.029216e+00 1.019751e+00 1.010678e+00 1.001982e+00 9.936429e-01 9.856463e-01 9.779763e-01 9.706178e-01 9.635564e-01 9.567785e-01 9.502708e-01 9.440206e-01 9.380158e-01 9.322447e-01 9.266959e-01 9.213587e-01 9.162227e-01 9.112778e-01 9.065145e-01 9.019234e-01 8.974956e-01 8.932225e-01 8.890957e-01 8.851072e-01 8.812492e-01 8.775143e-01 8.738950e-01 8.703844e-01 8.669756e-01 8.636620e-01 8.604371e-01 8.572947e-01 8.542285e-01 8.512327e-01 8.483014e-01 8.454289e-01 8.426095e-01 8.398378e-01 8.371084e-01 8.344159e-01 8.317552e-01 8.291210e-01 8.265082e-01 8.239117e-01 8.213264e-01 8.187473e-01 8.161694e-01 8.135876e-01 8.109970e-01 8.083924e-01 8.057688e-01 8.031211e-01 8.004441e-01 7.977326e-01 7.949813e-01 7.921848e-01 7.893378e-01 7.864346e-01 7.834696e-01 7.804370e-01 7.773309e-01 7.738872e-01 7.702254e-01 7.665947e-01 7.629862e-01 7.593910e-01 7.558003e-01 7.522054e-01
